# x: Time delay constants T, all < T_hopf; y: Critical N values at which large limit cycle is born -> multistability, β = 2, ρ = 1
25.5    26.0	26.5	27.0	27.5	28.0	28.5	29.0	29.5	30.0	30.5	31.0	31.5	32.0	32.5	33.0	33.5	34.0	34.5	35.0	35.5	36.0	36.5	37.0	37.5	38.0	38.5	39.0	39.5	40.0    40.5    41.0    41.5    42.0    42.5    43.0    43.5
556 424	348	296	262	234	214	198	186	174	166	158	150	144	140	136	132	128	124	122	120	116	114	112	112	110	108	106	106	104 104 102 102 100 100 98 94
